claim_id,value,unit,source,source_sha256,field,meaning
t1.evaluations,56,count,artifact:e0553704-d20f-4201-8ab0-78585038dba4,2392556e47f58be87f90eefa59f453c48fc71b5c114d62381b0490a5cd7f483d,totals.evaluations,T1 cell evaluations across sessions
t1.exact,51,count,artifact:e0553704-d20f-4201-8ab0-78585038dba4,2392556e47f58be87f90eefa59f453c48fc71b5c114d62381b0490a5cd7f483d,totals.exact_match,evaluations bit-identical to published
t1.deviating,5,count,artifact:e0553704-d20f-4201-8ab0-78585038dba4,2392556e47f58be87f90eefa59f453c48fc71b5c114d62381b0490a5cd7f483d,totals.deviating,evaluations deviating (all one cell)
t1.bistable_published,34.05058153658377,pp,artifact:e0553704-d20f-4201-8ab0-78585038dba4,2392556e47f58be87f90eefa59f453c48fc71b5c114d62381b0490a5cd7f483d,totals.published_value,BM25/coarse_idfonly/FR@3 as published
t1.bistable_alt,34.07895033091002,pp,artifact:e0553704-d20f-4201-8ab0-78585038dba4,2392556e47f58be87f90eefa59f453c48fc71b5c114d62381b0490a5cd7f483d,totals.deviating_value,same cell under PYTHONHASHSEED 99/777
t1.bistable_diff,0.0283687943,pp,artifact:e0553704-d20f-4201-8ab0-78585038dba4,2392556e47f58be87f90eefa59f453c48fc71b5c114d62381b0490a5cd7f483d,derived,difference = 1/25 of one of 141 queries
t1.cells,35,count,artifact:d4e8dd7a-e8b6-431d-b62d-9143dfce76cd,3c45a75b2df643d924bcdaa12fb34af71da6a871e2a36da09d326f55d2b724b0,rows,published T1 cells re-run
t1.cells_match,35,count,artifact:d4e8dd7a-e8b6-431d-b62d-9143dfce76cd,3c45a75b2df643d924bcdaa12fb34af71da6a871e2a36da09d326f55d2b724b0,verdict==MATCH,cells matching at the published hash seed
seal.entries,821,count,artifact:bc23c25c-884f-4879-88cb-1c85366172db,326caafd413603f5b9e9c9a3fa807fe92cf133be137cdd620c31de91337d4378,base_seal.entries,files in the authoritative seal
seal.changed,9,count,artifact:bc23c25c-884f-4879-88cb-1c85366172db,326caafd413603f5b9e9c9a3fa807fe92cf133be137cdd620c31de91337d4378,verdict.files_changed,sealed files edited in place on 2026-09-18
seal.numeric_changed,False,bool,artifact:bc23c25c-884f-4879-88cb-1c85366172db,326caafd413603f5b9e9c9a3fa807fe92cf133be137cdd620c31de91337d4378,verdict.numeric_logic_changed,whether any numeric logic changed
c1.n_queries,705,count,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,n_queries,RealTalk queries in the C1 evaluation
c1.passed.BM25_coarse,False,bool,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,verdict_fr3.BM25_coarse/-.passed,C1 gate outcome on FR@3
c1.passed.BM25_frozen,False,bool,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,verdict_fr3.BM25_frozen/-.passed,C1 gate outcome on FR@3
c1.k96/sym.BM25_coarse.fr3,-11.038,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,"table[k96/sym,BM25_coarse/-].fr3_pp","12 B/doc arm minus BM25, fr3"
c1.k96/sym.BM25_coarse.fr3.lo,-15.706,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,...fr3_lo,95% lower bound
c1.k96/sym.BM25_coarse.fr3.hi,-7.09,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,...fr3_hi,95% upper bound
c1.k96/sym.BM25_coarse.hit10,-8.794,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,"table[k96/sym,BM25_coarse/-].hit10_pp","12 B/doc arm minus BM25, hit10"
c1.k96/sym.BM25_coarse.hit10.lo,-13.498,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,...hit10_lo,95% lower bound
c1.k96/sym.BM25_coarse.hit10.hi,-4.677,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,...hit10_hi,95% upper bound
